country,beneficiary,eur
Administration of the State Border Guard Service of Ukraine,Ukraine,103862
Albania,"Albania - Aparati iDrejtorisÃ« sÃ« PolicisÃ« sÃ«Shtetit",176643.09
Albania,Albania - Aparati i DrejtorisÃ« sÃ« PolicisÃ« sÃ« Shtetit,3530637.53
Albania,Albania - Aparati i Drejtorisë së Policisë së Shtetit,1508102.4
Albania,"Aparati i Drejtorise se Pergjithshme tePolicise se Shtetit",266333.26
Albania,"Aparati i Drejtorise se Pergjithshme te Policisese Shtetit",28416.87
Albania,"Aparati i Drejtorise se Pergjithshme te Policise seShtetit",143666.9
Albania,Aparati i Drejtorise se Pergjithshme te Policise se Shtetit,60961.75
Albania,Aparati i DrejtorisÃ« sÃ« PolicisÃ« sÃ« Shtetit,14380.8
Aparati i Drejtorise se Pergjithshme te Policise se Shtetit,Albania,124055
Armed Forces of Malta,Malta,2190975
Austria,"Austria - Federal Ministryof the Interior",2639520
Austria,Austria - Federal Ministry of Interior,8619274.74
Austria,Austria - Federal Ministry of the Interior,13977684.64
Austria,"Austria - Federal Office forImmigration and Asylum",8251949.54
Austria,"Austria - Federal Office for Immigration andAsylum",2464034
Austria,Federal Ministry of Interior,4662148.54
Austria,Federal Ministry of the Interior,24637295.86
Austria,Ministry of Interior,754384.91
Austria,Ministry of the Interior,3029662.62
Belarus,Belarus - State Border Committee,21820.510000000002
Belarus,"State Border Commitee ofthe Republic of Belarus",4060.65
Belarus,State Border Committee,35923.65
Belarus,State Border Committee of the Republic of Belarus,5557.65
Belgian Federal Police,Belgium,223653
Belgium,"Belgian Defence Staff Operations and TrainingDepartement",1504988
Belgium,Belgian Federal Police,1646306.1
Belgium,"Belgium - Belgian FederalPolice",587353
Belgium,Belgium - Belgian Federal Police,2067685
Belgium,Belgium - Belgian Immigration Office,19101.32
Belgium,Belgium - Belgium Federal Police,333333.6
Belgium,"Belgium - CIB - Caritas International Belgium, Non-profit association",1500005
Belgium,Belgium - Caritas International Belgium,128500
Belgium,"Belgium - Department ofFederal Immigration(DienstVreemdelingenzaken)",2548550.02
Belgium,"Belgium - Department of Federal Immigration(Dienst Vreemdelingenzaken)",1124810
Belgium,"Belgium - Department of Federal Immigration (DienstVreemdelingenzaken)",293556
Belgium,Belgium - Department of Federal Immigration (Dienst Vreemdelingenzaken),13060
Belgium,Belgium - Dienst Vreemdelingenzaken,536813
Belgium,"Belgium - Fedasil (Federaal agentschap voor de opvang vanasielzoekers)",27530
Belgium,Belgium - Federaal agentschap voor de opvang van asielzoekers - Fedasil,1314
Belgium,Belgium - Federal Police,549885
Belgium,Belgium - Federal Police Belgium-DGA/DAO,280000.22
Belgium,Belgium - IRARA - International Returns & Reintegration Assistance,1062440
Belgium,Belgium- FEDERAAL AGENTSCHAP VOOR DE OPVANG,3077.28
Belgium,Belgium-Federal Police Belgium-DGA/DAO,50950.08
Belgium,Belgium-Federal Police Belgium-DGA/DAO-NFPOC,798557.59
Belgium,Department of Federal Immigration,3879121
Belgium,Dienst Vreemdelingenzaken,151349.73
Belgium,FOD Financiën,45360
Belgium,Federal Police,181951.15
Belgium,Federal police,10313.04
Belgium,Federale Politie,108133.58
Belgium,Vreemdelingenzaken,2574.88
Border Police Department,Moldova,67319
Border Police of Bosnia and Herzegovina,"Bosnia andHerzegovina",16457
Border and Alien Police Directorate,Slovakia,22663
Bosna and Herzegovina,Border Police of Bosnia and Herzegovina,19974.760000000002
Bosnia and Herzegovina,"Border Police of Bosniaand Herzegovina",8750.46
Bosnia and Herzegovina,"Border Police of Bosnia andHerzegovina",10010
Bosnia and Herzegovina,Border Police of Bosnia and Herzegovina,52476.1
Bosnia and Herzegovina,"Bosnia and Hercegovina - Border Police of Bosniaand Herzegovina",29125.4
Bosnia&Herzeg ovina,Border Police of Bosnia and Herzegovina,4120.28
Bulgaria,Bulgaria - Chief Directorate - Ministry of Interior,14863
Bulgaria,Bulgaria - Chief Directorate Border Police,1085536
Bulgaria,"Bulgaria - Chief Directorate Border Police - Ministry ofInterior",571500.26
Bulgaria,Bulgaria - Chief Directorate Border Police - Ministry of Interior,342052
Bulgaria,"Bulgaria - MigrationDirectorate - Ministry ofInterior",44024
Bulgaria,Bulgaria - Migration Directorate - Ministry of Interior,61245
Bulgaria,"Bulgaria - Ministry ofInterior, Chief DirectorateBorder Police",2163412.11
Bulgaria,"Bulgaria - Ministry of Interior  - Chief Directorate BorderPolice",611734
Bulgaria,Bulgaria - Ministry of Interior  - Chief Directorate Border Police,724080
Bulgaria,Bulgaria - Ministry of Interior  - Migration Directorate - Chief Directorate Border Police,2866
Bulgaria,"Bulgaria - Ministry of Interior, Chief DirectorateBorder Police",1793434
Bulgaria,"Bulgaria - Ministry of Interior, Chief Directorate BorderPolice",778586.2
Bulgaria,"Bulgaria - Ministry of Interior, Chief Directorate Border Police",2540391
Bulgaria,Bulgaria- Chief Directorate Border Police - Ministry of Interior,52393.68
Bulgaria,Bulgaria-Chief Directorate Border Police - Ministry of Interior,1065513.79
Bulgaria,Chief Directorate Border Police,52656.06
Bulgaria,Chief Directorate Border Police - Ministry of Interior,518549
Bulgaria,Ministry of Interior,12803.2
Bulgaria,"Ministry of Interior - National Police Service - ChiefDirectorate Border Police",172526.7
Bulgaria,"Ministry of Interior, Chief DirectorateBorder Police",3774.19
Bulgaria,"Ministry of Interior, National PoliceService",7141.7
Bulgaria,"Ministry of Interior, National PoliceService, Chief Directorate Border Police",3785208
Bulgaria,"Ministry of Interior, National Police Service,Chief Directorate Border Police",1043619.15
Bulgaria,"Ministry of Interior, National Police Service, ChiefDirectorate Border Police",961086.19
Bulgaria,"Ministry of Interior, National Police Service, Chief Directorate BorderPolice",510465.06
Bulgaria,"Ministry of Interior, National Police Service, Chief Directorate Border Police",444762.28
Bulgaria,Ministry of the Interior,14678.7
Bundespolizeiprasidium Federal Police Central Office,Germany,25183362
Bureau of Border and Alien Police,Slovakia,1099710
Cabo Verde,Direccao de Estrangeiros e Fronteiras,1914.88
Cape Verde,Direccao de Estrangeiros e Fronteiras,2604
Croatia,"Croatia - Ministry of theInterior of the Republic ofCroatia",1237419
Croatia,Croatia - Ministry of the Interior,368889
Croatia,"Croatia - Ministry of the Interior of the Republic ofCroatia",1380195.17
Croatia,Croatia - Ministry of the Interior of the Republic of Croatia,3635936
Croatia,"Croatia - Ministry of the Interior,Directorate for Financial-Material Affairs",1636803.8399999999
Croatia,"Croatia - Ministry of the Interior, Directorate for Financial-Material Affairs",37900.03
Croatia,"Croatia - Police Academy of Ministry of theInterior of the Republic of Croatia",55500
Croatia,"Croatia- Ministry of the Interior, Directorate for Financial-Material Affairs",1448414.8900000001
Croatia,Ministry of Interior,56421.78
Croatia,"Ministry of Interior, Directorate for FinancialMaterial Affairs",104374.74
Croatia,Ministry of the Interior,323389.52
Croatia,"Ministry of the Interior, Directorate forFinancial-Material Affairs",1347243
Croatia,"Ministry of the Interior, Directorate for FinancialMaterial Affairs",2417969
Cuerpo Nacional de Policia,Spain,4278205
Cyprus,Cyprus - Civil Registry and Migration Department (CRMD),160015
Cyprus,Cyprus - Cyprus Police,107134.08
Cyprus,"Cyprus - Cyprus Police, Police Headquarters",240310
Cyprus,Cyprus - Cyprus Police/Aliens and Immigration Unit,156634.79
Cyprus,Cyprus Police,8677.66
Cyprus,"Cyprus Police, PoliceHeadquarters",75284
Cyprus,"Cyprus Police, Police Headquarters",413502
Cyprus,Ministry of Justice and Public Order,13989.66
Cyprus,Police Headquarters,47274.2
"Cyprus Police, Police Headquarters",Cyprus,37574
Czech  Republic,"Czech Republic - Police Presidium of the Czech Republic, 
International Police Cooperation Directorate",14200.01
Czech  Republic,Czech Republic - Police of the Czech Republic,48022
Czech Republic,"Czech Republic - Ministryof the Interior of the CzechRepublic",7424
Czech Republic,"Czech Republic - Ministry of the Interior of theCzech Republic",43788
Czech Republic,"Czech Republic - Ministry of the Interior of the CzechRepublic",20311
Czech Republic,Czech Republic - Police Presidium of the Czech Republic,1002431.36
